               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034498,            0.014947,                   0,             0.48955,             0.52108,             0.47052,             0.22948,            0.060022,            0.074875,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,             0.03375,            0.014482,                   0,             0.72078,             0.59765,             0.67041,             0.32398,            0.047708,             0.03021,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              0.0338,            0.014442,                   0,              0.6939,             0.66887,             0.71644,             0.35778,            0.044293,            0.048197,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034086,            0.014837,                   0,             0.75843,             0.65932,             0.72613,             0.36216,            0.045649,            0.030778,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.034384,            0.014574,                   0,             0.80491,             0.73914,             0.81247,              0.4259,            0.042355,            0.027647,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.034119,            0.014735,                   0,             0.48955,             0.36687,             0.36655,             0.15201,             0.07043,            0.044724,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033552,            0.014603,                   0,             0.77173,              0.6696,             0.74865,               0.373,            0.048286,             0.03278,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.033488,            0.014592,                   0,             0.78671,             0.68943,             0.76565,             0.38196,            0.044338,            0.029931,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.034473,            0.015071,                   0,             0.77301,             0.70999,             0.76665,             0.39691,            0.043251,            0.031214,                   0,            0.009109,            0.009109,            0.009109
                  47,             0.03383,             0.01455,                   0,             0.77936,             0.73715,             0.79889,              0.4173,            0.041795,            0.028057,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.033542,            0.014482,                   0,             0.80736,             0.69163,               0.775,             0.38732,            0.045341,             0.02996,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.033334,            0.014624,                   0,             0.77617,             0.44053,              0.5334,             0.25491,            0.057148,            0.039693,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03439,            0.014615,                   0,              0.7891,             0.70602,             0.78495,             0.41317,            0.041752,            0.027548,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.033659,            0.014392,                   0,             0.79679,             0.75844,             0.81491,              0.4348,            0.042545,            0.027313,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.033253,            0.014412,                   0,             0.65873,             0.56122,             0.59542,             0.27656,            0.073321,            0.034507,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.034018,            0.014619,                   0,             0.82079,             0.71733,             0.79956,             0.40476,            0.043561,            0.027141,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,             0.03305,            0.014358,                   0,             0.80522,             0.46035,             0.56055,             0.28621,            0.064878,            0.052575,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.034046,            0.014675,                   0,             0.74719,             0.64231,              0.7075,             0.34227,            0.047176,            0.030074,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.033006,            0.014314,                   0,             0.78998,             0.72981,             0.79305,             0.42404,              0.0414,            0.030862,                   0,            0.008911,            0.008911,            0.008911
                  57,             0.03255,            0.014048,                   0,             0.81684,             0.72173,             0.80601,              0.4126,            0.041994,            0.027826,                   0,           0.0088912,           0.0088912,           0.0088912
